Time (seconds),sensor name,altitude,azimuth,measure
180.40,LDR,20,0.0,399
181.11,LDR,20,10.58823,336
181.83,LDR,20,21.17647,411
182.55,LDR,20,31.76471,410
183.27,LDR,20,42.35294,417
183.99,LDR,20,52.94117,427
184.71,LDR,20,63.52941,439
185.42,LDR,20,74.11765,450
186.28,LDR,20,84.70588,461
187.00,LDR,20,95.29411,465
187.72,LDR,20,105.8823,466
188.43,LDR,20,116.4706,465
189.16,LDR,20,127.0588,459
189.87,LDR,20,137.647,450
190.59,LDR,20,148.2353,437
191.31,LDR,20,158.8235,424
192.03,LDR,20,169.4118,441
192.78,LDR,20,180.0,215
193.50,LDR,20,190.5882,319
194.22,LDR,20,201.1765,464
194.94,LDR,20,211.7647,636
195.66,LDR,20,222.3529,467
196.38,LDR,20,232.9412,499
197.09,LDR,20,243.5294,546
197.81,LDR,20,254.1176,599
198.53,LDR,20,264.7059,666
199.25,LDR,20,275.2941,757
200.01,LDR,20,285.8824,1011
200.72,LDR,20,296.4706,799
201.44,LDR,20,307.0588,681
202.16,LDR,20,317.647,598
202.88,LDR,20,328.2353,550
203.60,LDR,20,338.8235,496
204.32,LDR,20,349.4117,465
205.04,LDR,30,0.0,399
205.82,LDR,30,11.6129,362
206.59,LDR,30,23.22581,349
207.41,LDR,30,34.83871,345
208.19,LDR,30,46.45162,349
208.97,LDR,30,58.06452,356
209.74,LDR,30,69.67742,365
210.52,LDR,30,81.29033,373
211.29,LDR,30,92.90323,379
212.07,LDR,30,104.5161,381
212.85,LDR,30,116.129,381
213.62,LDR,30,127.7419,376
214.43,LDR,30,139.3548,370
215.21,LDR,30,150.9677,360
215.99,LDR,30,162.5807,349
216.77,LDR,30,174.1935,345
217.54,LDR,30,185.8065,203
218.32,LDR,30,197.4194,360
219.09,LDR,30,209.0322,372
219.87,LDR,30,220.6452,396
220.65,LDR,30,232.2581,430
221.43,LDR,30,243.871,481
222.24,LDR,30,255.4839,535
223.01,LDR,30,267.0968,596
223.79,LDR,30,278.7097,668
224.57,LDR,30,290.3226,717
225.34,LDR,30,301.9355,651
226.12,LDR,30,313.5484,571
226.89,LDR,30,325.1613,509
227.67,LDR,30,336.7742,460
228.45,LDR,30,348.3871,418
229.26,LDR,40,0.0,363
230.10,LDR,40,12.85714,331
230.95,LDR,40,25.71429,317
231.80,LDR,40,38.57143,312
232.65,LDR,40,51.42857,313
233.49,LDR,40,64.28571,318
234.34,LDR,40,77.14285,324
235.19,LDR,40,90.0,328
236.04,LDR,40,102.8571,330
236.89,LDR,40,115.7143,330
237.77,LDR,40,128.5714,327
238.62,LDR,40,141.4286,322
239.46,LDR,40,154.2857,316
240.31,LDR,40,167.1428,312
241.16,LDR,40,180.0,311
242.01,LDR,40,192.8571,317
242.86,LDR,40,205.7143,332
243.70,LDR,40,218.5714,354
244.55,LDR,40,231.4286,385
245.40,LDR,40,244.2857,429
246.29,LDR,40,257.1429,475
247.13,LDR,40,270.0,522
247.98,LDR,40,282.8571,559
248.83,LDR,40,295.7143,558
249.68,LDR,40,308.5714,518
250.52,LDR,40,321.4286,471
251.37,LDR,40,334.2857,427
252.22,LDR,40,347.1428,387
253.07,LDR,50,0.0,338
254.11,LDR,50,15.65217,308
255.12,LDR,50,31.30435,295
256.13,LDR,50,46.95652,290
257.13,LDR,50,62.6087,291
258.14,LDR,50,78.26087,294
259.15,LDR,50,93.91304,295
260.15,LDR,50,109.5652,297
261.16,LDR,50,125.2174,295
262.17,LDR,50,140.8696,291
263.17,LDR,50,156.5217,287
264.22,LDR,50,172.1739,288
265.22,LDR,50,187.8261,294
266.23,LDR,50,203.4782,308
267.24,LDR,50,219.1304,330
268.25,LDR,50,234.7826,361
269.25,LDR,50,250.4348,403
270.26,LDR,50,266.0869,438
271.27,LDR,50,281.7391,463
272.28,LDR,50,297.3913,461
273.32,LDR,50,313.0435,434
274.33,LDR,50,328.6956,400
275.33,LDR,50,344.3478,360
276.34,LDR,60,0.0,315
277.59,LDR,60,20.0,289
278.85,LDR,60,40.0,277
280.11,LDR,60,60.0,273
281.36,LDR,60,80.0,273
282.62,LDR,60,100.0,271
283.87,LDR,60,120.0,271
285.13,LDR,60,140.0,271
286.42,LDR,60,160.0,271
287.67,LDR,60,180.0,276
288.93,LDR,60,200.0,288
290.18,LDR,60,220.0,309
291.44,LDR,60,240.0,336
292.69,LDR,60,260.0,368
293.94,LDR,60,280.0,388
295.20,LDR,60,300.0,391
296.45,LDR,60,320.0,368
297.70,LDR,60,340.0,338
298.96,LDR,70,0.0,301
300.82,LDR,70,30.0,276
302.64,LDR,70,60.0,266
304.47,LDR,70,90.0,263
306.29,LDR,70,120.0,262
308.11,LDR,70,150.0,263
309.94,LDR,70,180.0,271
311.76,LDR,70,210.0,288
313.58,LDR,70,240.0,314
315.41,LDR,70,270.0,336
317.23,LDR,70,300.0,339
319.06,LDR,70,330.0,323
320.92,LDR,80,0.0,287
324.45,LDR,80,60.0,265
327.97,LDR,80,120.0,262
331.50,LDR,80,180.0,270
335.03,LDR,80,240.0,294
338.56,LDR,80,300.0,303
342.09,LDR,90,0.0,278
