Time (seconds),sensor name,altitude,azimuth,measure
380.29,BH1750,20,0.0,15.83333
381.11,BH1750,20,10.58823,8.333333
381.92,BH1750,20,21.17647,15.83333
382.78,BH1750,20,31.76471,15.0
383.60,BH1750,20,42.35294,15.83333
384.41,BH1750,20,52.94117,16.66667
385.23,BH1750,20,63.52941,17.5
386.05,BH1750,20,74.11765,18.33333
386.87,BH1750,20,84.70588,19.16667
387.69,BH1750,20,95.29411,20.0
388.67,BH1750,20,105.8823,20.83333
389.48,BH1750,20,116.4706,20.83333
390.30,BH1750,20,127.0588,20.0
391.12,BH1750,20,137.647,19.16667
391.94,BH1750,20,148.2353,18.33333
392.76,BH1750,20,158.8235,16.66667
393.58,BH1750,20,169.4118,35.0
394.40,BH1750,20,180.0,4.166667
395.25,BH1750,20,190.5882,8.333333
396.07,BH1750,20,201.1765,15.83333
396.89,BH1750,20,211.7647,57.5
397.71,BH1750,20,222.3529,20.0
398.53,BH1750,20,232.9412,24.16667
399.35,BH1750,20,243.5294,30.83333
400.16,BH1750,20,254.1176,40.83333
401.00,BH1750,20,264.7059,56.66667
401.83,BH1750,20,275.2941,92.5
402.65,BH1750,20,285.8824,474.1666
403.47,BH1750,20,296.4706,410.8333
404.29,BH1750,20,307.0588,88.33333
405.10,BH1750,20,317.647,53.33333
405.92,BH1750,20,328.2353,39.16667
406.74,BH1750,20,338.8235,29.16667
407.59,BH1750,20,349.4117,22.5
408.42,BH1750,30,0.0,15.83333
409.29,BH1750,30,11.6129,12.5
410.17,BH1750,30,23.22581,10.83333
411.05,BH1750,30,34.83871,10.83333
411.93,BH1750,30,46.45162,10.83333
412.81,BH1750,30,58.06452,11.66667
413.69,BH1750,30,69.67742,11.66667
414.60,BH1750,30,81.29033,12.5
415.47,BH1750,30,92.90323,12.5
416.35,BH1750,30,104.5161,13.33333
417.23,BH1750,30,116.129,13.33333
418.10,BH1750,30,127.7419,13.33333
418.98,BH1750,30,139.3548,12.5
419.85,BH1750,30,150.9677,11.66667
420.77,BH1750,30,162.5807,10.83333
421.65,BH1750,30,174.1935,10.83333
422.52,BH1750,30,185.8065,5.0
423.40,BH1750,30,197.4194,15.0
424.28,BH1750,30,209.0322,12.5
425.16,BH1750,30,220.6452,14.16667
426.04,BH1750,30,232.2581,16.66667
426.92,BH1750,30,243.871,21.66667
427.83,BH1750,30,255.4839,28.33333
428.71,BH1750,30,267.0968,39.16667
429.59,BH1750,30,278.7097,60.83333
430.46,BH1750,30,290.3226,98.33333
431.34,BH1750,30,301.9355,69.16667
432.22,BH1750,30,313.5484,43.33333
433.09,BH1750,30,325.1613,30.0
433.99,BH1750,30,336.7742,22.5
434.88,BH1750,30,348.3871,17.5
435.76,BH1750,40,0.0,13.33333
436.71,BH1750,40,12.85714,10.0
437.66,BH1750,40,25.71429,9.166666
438.60,BH1750,40,38.57143,8.333333
439.55,BH1750,40,51.42857,8.333333
440.50,BH1750,40,64.28571,9.166666
441.48,BH1750,40,77.14285,9.166666
442.43,BH1750,40,90.0,9.166666
443.38,BH1750,40,102.8571,10.0
444.33,BH1750,40,115.7143,10.0
445.27,BH1750,40,128.5714,10.0
446.22,BH1750,40,141.4286,9.166666
447.17,BH1750,40,154.2857,9.166666
448.12,BH1750,40,167.1428,8.333333
449.10,BH1750,40,180.0,8.333333
450.05,BH1750,40,192.8571,9.166666
451.00,BH1750,40,205.7143,9.166666
451.95,BH1750,40,218.5714,10.83333
452.90,BH1750,40,231.4286,12.5
453.84,BH1750,40,244.2857,16.66667
454.79,BH1750,40,257.1429,20.83333
455.74,BH1750,40,270.0,26.66667
456.72,BH1750,40,282.8571,33.33333
457.67,BH1750,40,295.7143,39.16667
458.62,BH1750,40,308.5714,30.83333
459.57,BH1750,40,321.4286,24.16667
460.52,BH1750,40,334.2857,19.16667
461.46,BH1750,40,347.1428,14.16667
462.41,BH1750,50,0.0,10.83333
463.55,BH1750,50,15.65217,8.333333
464.66,BH1750,50,31.30435,7.5
465.77,BH1750,50,46.95652,7.5
466.88,BH1750,50,62.6087,7.5
467.99,BH1750,50,78.26087,7.5
469.09,BH1750,50,93.91304,7.5
470.20,BH1750,50,109.5652,7.5
471.31,BH1750,50,125.2174,7.5
472.45,BH1750,50,140.8696,7.5
473.55,BH1750,50,156.5217,7.5
474.66,BH1750,50,172.1739,7.5
475.77,BH1750,50,187.8261,7.5
476.87,BH1750,50,203.4782,8.333333
477.98,BH1750,50,219.1304,9.166666
479.09,BH1750,50,234.7826,10.83333
480.20,BH1750,50,250.4348,14.16667
481.34,BH1750,50,266.0869,17.5
482.45,BH1750,50,281.7391,20.0
483.56,BH1750,50,297.3913,22.5
484.67,BH1750,50,313.0435,19.16667
485.78,BH1750,50,328.6956,15.83333
486.88,BH1750,50,344.3478,12.5
487.99,BH1750,60,0.0,8.333333
489.35,BH1750,60,20.0,7.5
490.70,BH1750,60,40.0,6.666667
492.10,BH1750,60,60.0,6.666667
493.45,BH1750,60,80.0,6.666667
494.81,BH1750,60,100.0,6.666667
496.16,BH1750,60,120.0,6.666667
497.52,BH1750,60,140.0,6.666667
498.88,BH1750,60,160.0,6.666667
500.23,BH1750,60,180.0,6.666667
501.59,BH1750,60,200.0,7.5
502.98,BH1750,60,220.0,8.333333
504.34,BH1750,60,240.0,10.0
505.69,BH1750,60,260.0,11.66667
507.05,BH1750,60,280.0,13.33333
508.40,BH1750,60,300.0,14.16667
509.76,BH1750,60,320.0,12.5
511.12,BH1750,60,340.0,10.83333
512.47,BH1750,70,0.0,8.333333
514.54,BH1750,70,30.0,6.666667
516.47,BH1750,70,60.0,5.833333
518.39,BH1750,70,90.0,5.833333
520.31,BH1750,70,120.0,5.833333
522.24,BH1750,70,150.0,5.833333
524.16,BH1750,70,180.0,6.666667
526.08,BH1750,70,210.0,6.666667
528.01,BH1750,70,240.0,8.333333
529.97,BH1750,70,270.0,10.0
531.89,BH1750,70,300.0,10.0
533.82,BH1750,70,330.0,9.166666
535.74,BH1750,80,0.0,7.5
539.37,BH1750,80,60.0,5.833333
543.00,BH1750,80,120.0,5.833333
546.63,BH1750,80,180.0,6.666667
550.26,BH1750,80,240.0,7.5
553.89,BH1750,80,300.0,8.333333
557.55,BH1750,90,0.0,6.666667
