Time (seconds),sensor name,altitude,azimuth,measure
582.63,BH1750,20,0.0,18.33333
583.45,BH1750,20,10.58823,10.83333
584.27,BH1750,20,21.17647,15.0
585.09,BH1750,20,31.76471,15.0
585.90,BH1750,20,42.35294,15.83333
586.72,BH1750,20,52.94117,16.66667
587.54,BH1750,20,63.52941,17.5
588.39,BH1750,20,74.11765,18.33333
589.22,BH1750,20,84.70588,20.0
590.04,BH1750,20,95.29411,20.0
590.85,BH1750,20,105.8823,20.0
591.67,BH1750,20,116.4706,20.0
592.49,BH1750,20,127.0588,19.16667
593.31,BH1750,20,137.647,18.33333
594.13,BH1750,20,148.2353,17.5
594.98,BH1750,20,158.8235,15.83333
595.80,BH1750,20,169.4118,15.83333
596.62,BH1750,20,180.0,3.333333
597.44,BH1750,20,190.5882,7.5
598.26,BH1750,20,201.1765,27.5
599.07,BH1750,20,211.7647,37.5
599.90,BH1750,20,222.3529,20.83333
600.72,BH1750,20,232.9412,25.83333
601.57,BH1750,20,243.5294,32.5
602.39,BH1750,20,254.1176,43.33333
603.21,BH1750,20,264.7059,65.0
604.03,BH1750,20,275.2941,114.1667
604.85,BH1750,20,285.8824,54612.49
605.66,BH1750,20,296.4706,175.0
606.49,BH1750,20,307.0588,74.16667
607.34,BH1750,20,317.647,48.33333
608.16,BH1750,20,328.2353,35.0
608.97,BH1750,20,338.8235,26.66667
609.79,BH1750,20,349.4117,21.66667
610.61,BH1750,30,0.0,15.0
611.49,BH1750,30,11.6129,11.66667
612.37,BH1750,30,23.22581,10.83333
613.24,BH1750,30,34.83871,10.83333
614.15,BH1750,30,46.45162,10.83333
615.03,BH1750,30,58.06452,11.66667
615.91,BH1750,30,69.67742,11.66667
616.79,BH1750,30,81.29033,12.5
617.66,BH1750,30,92.90323,12.5
618.54,BH1750,30,104.5161,13.33333
619.41,BH1750,30,116.129,13.33333
620.33,BH1750,30,127.7419,12.5
621.20,BH1750,30,139.3548,12.5
622.08,BH1750,30,150.9677,11.66667
622.96,BH1750,30,162.5807,10.83333
623.83,BH1750,30,174.1935,10.83333
624.71,BH1750,30,185.8065,4.166667
625.59,BH1750,30,197.4194,14.16667
626.47,BH1750,30,209.0322,12.5
627.38,BH1750,30,220.6452,14.16667
628.26,BH1750,30,232.2581,17.5
629.13,BH1750,30,243.871,22.5
630.01,BH1750,30,255.4839,30.83333
630.89,BH1750,30,267.0968,45.0
631.77,BH1750,30,278.7097,69.16667
632.65,BH1750,30,290.3226,95.83333
633.52,BH1750,30,301.9355,63.33333
634.43,BH1750,30,313.5484,40.0
635.31,BH1750,30,325.1613,28.33333
636.19,BH1750,30,336.7742,21.66667
637.07,BH1750,30,348.3871,16.66667
637.94,BH1750,40,0.0,12.5
638.89,BH1750,40,12.85714,10.0
639.84,BH1750,40,25.71429,9.166666
640.78,BH1750,40,38.57143,8.333333
641.77,BH1750,40,51.42857,8.333333
642.72,BH1750,40,64.28571,8.333333
643.66,BH1750,40,77.14285,9.166666
644.61,BH1750,40,90.0,9.166666
645.56,BH1750,40,102.8571,9.166666
646.51,BH1750,40,115.7143,9.166666
647.46,BH1750,40,128.5714,9.166666
648.44,BH1750,40,141.4286,9.166666
649.39,BH1750,40,154.2857,8.333333
650.33,BH1750,40,167.1428,8.333333
651.28,BH1750,40,180.0,8.333333
652.23,BH1750,40,192.8571,9.166666
653.18,BH1750,40,205.7143,10.0
654.13,BH1750,40,218.5714,10.83333
655.08,BH1750,40,231.4286,13.33333
656.06,BH1750,40,244.2857,17.5
657.01,BH1750,40,257.1429,22.5
657.96,BH1750,40,270.0,29.16667
658.90,BH1750,40,282.8571,35.83333
659.85,BH1750,40,295.7143,39.16667
660.80,BH1750,40,308.5714,30.0
661.75,BH1750,40,321.4286,23.33333
662.73,BH1750,40,334.2857,18.33333
663.68,BH1750,40,347.1428,13.33333
664.63,BH1750,50,0.0,10.83333
665.73,BH1750,50,15.65217,8.333333
666.84,BH1750,50,31.30435,7.5
667.94,BH1750,50,46.95652,7.5
669.05,BH1750,50,62.6087,7.5
670.16,BH1750,50,78.26087,7.5
671.30,BH1750,50,93.91304,7.5
672.41,BH1750,50,109.5652,7.5
673.52,BH1750,50,125.2174,7.5
674.62,BH1750,50,140.8696,7.5
675.73,BH1750,50,156.5217,7.5
676.84,BH1750,50,172.1739,7.5
677.95,BH1750,50,187.8261,7.5
679.05,BH1750,50,203.4782,8.333333
680.16,BH1750,50,219.1304,10.0
681.42,BH1750,50,234.7826,11.66667
682.53,BH1750,50,250.4348,15.0
683.64,BH1750,50,266.0869,18.33333
684.74,BH1750,50,281.7391,21.66667
685.85,BH1750,50,297.3913,22.5
686.95,BH1750,50,313.0435,19.16667
688.06,BH1750,50,328.6956,15.83333
689.20,BH1750,50,344.3478,11.66667
690.31,BH1750,60,0.0,8.333333
691.66,BH1750,60,20.0,7.5
693.02,BH1750,60,40.0,6.666667
694.37,BH1750,60,60.0,6.666667
695.73,BH1750,60,80.0,6.666667
697.08,BH1750,60,100.0,6.666667
698.44,BH1750,60,120.0,6.666667
699.79,BH1750,60,140.0,6.666667
701.18,BH1750,60,160.0,6.666667
702.54,BH1750,60,180.0,6.666667
703.89,BH1750,60,200.0,7.5
705.25,BH1750,60,220.0,8.333333
706.61,BH1750,60,240.0,10.0
707.96,BH1750,60,260.0,13.33333
709.32,BH1750,60,280.0,14.16667
