Time (seconds),sensor name,altitude,azimuth,measure
13.27,LDR,20,0.0,166
13.87,LDR,20,5.294117,317
14.28,LDR,20,10.58823,338
14.70,LDR,20,15.88235,491
15.12,LDR,20,21.17647,523
15.54,LDR,20,26.47059,547
15.95,LDR,20,31.76471,576
16.37,LDR,20,37.05882,617
16.79,LDR,20,42.35294,652
17.24,LDR,20,47.64706,694
17.65,LDR,20,52.94117,756
18.07,LDR,20,58.23529,929
18.49,LDR,20,63.52941,802
18.91,LDR,20,68.82352,724
19.32,LDR,20,74.11765,671
19.74,LDR,20,79.41176,634
20.16,LDR,20,84.70588,596
20.57,LDR,20,90.0,566
20.99,LDR,20,95.29411,542
21.44,LDR,20,100.5882,513
21.86,LDR,20,105.8823,488
22.28,LDR,20,111.1765,470
22.69,LDR,20,116.4706,449
23.11,LDR,20,121.7647,434
23.52,LDR,20,127.0588,420
23.94,LDR,20,132.3529,406
24.36,LDR,20,137.647,394
24.78,LDR,20,142.9412,385
25.23,LDR,20,148.2353,378
25.65,LDR,20,153.5294,372
26.06,LDR,20,158.8235,373
26.48,LDR,20,164.1176,492
26.90,LDR,20,169.4118,366
27.31,LDR,20,174.7059,476
27.73,LDR,20,180.0,588
28.15,LDR,20,185.2941,556
28.56,LDR,20,190.5882,529
28.98,LDR,20,195.8823,458
29.43,LDR,20,201.1765,411
29.85,LDR,20,206.4706,309
30.26,LDR,20,211.7647,259
30.68,LDR,20,217.0588,402
31.10,LDR,20,222.3529,407
31.51,LDR,20,227.647,411
31.93,LDR,20,232.9412,414
32.35,LDR,20,238.2353,416
32.77,LDR,20,243.5294,417
33.18,LDR,20,248.8235,416
33.63,LDR,20,254.1176,415
34.05,LDR,20,259.4117,413
34.46,LDR,20,264.7059,411
34.88,LDR,20,270.0,407
35.30,LDR,20,275.2941,404
35.72,LDR,20,280.5882,399
36.13,LDR,20,285.8824,394
36.55,LDR,20,291.1764,390
36.96,LDR,20,296.4706,386
37.38,LDR,20,301.7647,382
37.83,LDR,20,307.0588,379
38.25,LDR,20,312.3529,376
38.67,LDR,20,317.647,372
39.09,LDR,20,322.9412,378
39.50,LDR,20,328.2353,381
39.92,LDR,20,333.5294,387
40.33,LDR,20,338.8235,394
40.75,LDR,20,344.1176,403
41.17,LDR,20,349.4117,411
41.58,LDR,20,354.7059,422
42.04,LDR,25,0.0,410
42.47,LDR,25,5.538462,383
42.90,LDR,25,11.07692,428
43.33,LDR,25,16.61539,461
43.76,LDR,25,22.15385,483
44.19,LDR,25,27.69231,506
44.62,LDR,25,33.23077,537
45.06,LDR,25,38.76923,576
45.49,LDR,25,44.30769,616
45.92,LDR,25,49.84615,666
46.39,LDR,25,55.38462,737
46.82,LDR,25,60.92308,1001
47.25,LDR,25,66.46154,1004
47.68,LDR,25,72.0,757
48.11,LDR,25,77.53847,659
48.55,LDR,25,83.07693,604
48.98,LDR,25,88.61539,565
49.41,LDR,25,94.15385,529
49.84,LDR,25,99.69231,503
50.28,LDR,25,105.2308,478
50.75,LDR,25,110.7692,455
51.18,LDR,25,116.3077,431
51.61,LDR,25,121.8462,409
52.04,LDR,25,127.3846,393
52.47,LDR,25,132.9231,379
52.90,LDR,25,138.4615,367
53.33,LDR,25,144.0,355
53.76,LDR,25,149.5385,347
54.20,LDR,25,155.0769,339
54.63,LDR,25,160.6154,334
55.10,LDR,25,166.1539,474
55.53,LDR,25,171.6923,306
55.96,LDR,25,177.2308,335
56.39,LDR,25,182.7692,489
56.82,LDR,25,188.3077,541
57.25,LDR,25,193.8461,495
57.67,LDR,25,199.3846,448
58.11,LDR,25,204.9231,377
58.54,LDR,25,210.4615,318
