Time (seconds),sensor name,altitude,azimuth,measure
7.92,LDR,20,0.0,234
9.08,LDR,20,10.58823,411
9.80,LDR,20,21.17647,503
10.52,LDR,20,31.76471,478
11.24,LDR,20,42.35294,456
11.95,LDR,20,52.94117,436
12.67,LDR,20,63.52941,420
13.39,LDR,20,74.11765,408
14.11,LDR,20,84.70588,402
14.87,LDR,20,95.29411,398
15.58,LDR,20,105.8823,396
16.30,LDR,20,116.4706,398
17.02,LDR,20,127.0588,401
17.74,LDR,20,137.647,404
18.45,LDR,20,148.2353,406
19.17,LDR,20,158.8235,410
19.89,LDR,20,169.4118,413
20.61,LDR,20,180.0,418
21.32,LDR,20,190.5882,413
22.07,LDR,20,201.1765,664
22.79,LDR,20,211.7647,459
23.51,LDR,20,222.3529,400
24.23,LDR,20,232.9412,402
24.95,LDR,20,243.5294,409
25.67,LDR,20,254.1176,421
26.39,LDR,20,264.7059,438
27.11,LDR,20,275.2941,456
27.82,LDR,20,285.8824,477
28.55,LDR,20,296.4706,503
29.29,LDR,20,307.0588,535
30.00,LDR,20,317.647,566
30.72,LDR,20,328.2353,589
31.44,LDR,20,338.8235,601
32.15,LDR,20,349.4117,585
32.88,LDR,30,0.0,570
33.65,LDR,30,11.6129,528
34.43,LDR,30,23.22581,491
35.21,LDR,30,34.83871,461
35.98,LDR,30,46.45162,430
36.79,LDR,30,58.06452,404
37.57,LDR,30,69.67742,381
38.35,LDR,30,81.29033,365
39.12,LDR,30,92.90323,356
39.90,LDR,30,104.5161,350
40.67,LDR,30,116.129,347
41.45,LDR,30,127.7419,343
42.23,LDR,30,139.3548,342
43.00,LDR,30,150.9677,343
43.79,LDR,30,162.5807,347
44.58,LDR,30,174.1935,346
45.36,LDR,30,185.8065,501
46.14,LDR,30,197.4194,575
46.92,LDR,30,209.0322,365
47.70,LDR,30,220.6452,348
48.47,LDR,30,232.2581,355
49.25,LDR,30,243.871,366
50.03,LDR,30,255.4839,381
50.80,LDR,30,267.0968,402
51.62,LDR,30,278.7097,428
52.40,LDR,30,290.3226,464
53.17,LDR,30,301.9355,500
53.95,LDR,30,313.5484,547
54.72,LDR,30,325.1613,600
55.50,LDR,30,336.7742,643
56.28,LDR,30,348.3871,612
57.05,LDR,40,0.0,607
57.90,LDR,40,12.85714,554
58.74,LDR,40,25.71429,494
59.63,LDR,40,38.57143,448
60.47,LDR,40,51.42857,404
61.32,LDR,40,64.28571,377
62.17,LDR,40,77.14285,355
63.01,LDR,40,90.0,337
63.86,LDR,40,102.8571,325
64.71,LDR,40,115.7143,317
65.56,LDR,40,128.5714,310
66.41,LDR,40,141.4286,308
67.25,LDR,40,154.2857,306
68.14,LDR,40,167.1428,306
68.98,LDR,40,180.0,309
69.83,LDR,40,192.8571,309
70.68,LDR,40,205.7143,314
71.52,LDR,40,218.5714,322
72.37,LDR,40,231.4286,332
73.22,LDR,40,244.2857,345
74.07,LDR,40,257.1429,369
74.92,LDR,40,270.0,394
75.76,LDR,40,282.8571,432
76.63,LDR,40,295.7143,474
77.49,LDR,40,308.5714,528
78.33,LDR,40,321.4286,604
79.18,LDR,40,334.2857,705
80.03,LDR,40,347.1428,697
80.88,LDR,50,0.0,666
81.89,LDR,50,15.65217,545
82.89,LDR,50,31.30435,477
83.90,LDR,50,46.95652,421
84.90,LDR,50,62.6087,375
85.91,LDR,50,78.26087,348
86.95,LDR,50,93.91304,327
87.95,LDR,50,109.5652,311
88.96,LDR,50,125.2174,300
89.96,LDR,50,140.8696,293
90.97,LDR,50,156.5217,290
91.98,LDR,50,172.1739,290
92.99,LDR,50,187.8261,294
93.99,LDR,50,203.4782,301
95.00,LDR,50,219.1304,312
96.04,LDR,50,234.7826,324
97.05,LDR,50,250.4348,344
98.05,LDR,50,266.0869,377
99.06,LDR,50,281.7391,423
100.07,LDR,50,297.3913,475
101.07,LDR,50,313.0435,568
102.08,LDR,50,328.6956,705
103.08,LDR,50,344.3478,1013
104.09,LDR,60,0.0,634
105.35,LDR,60,20.0,504
106.64,LDR,60,40.0,438
107.89,LDR,60,60.0,381
109.15,LDR,60,80.0,333
110.40,LDR,60,100.0,310
111.66,LDR,60,120.0,293
112.91,LDR,60,140.0,285
114.17,LDR,60,160.0,283
115.42,LDR,60,180.0,282
116.67,LDR,60,200.0,290
117.93,LDR,60,220.0,304
119.18,LDR,60,240.0,324
120.47,LDR,60,260.0,366
121.72,LDR,60,280.0,412
