Time (seconds),sensor name,altitude,azimuth,measure
10.69,BH1750,20,0.0,13.33333
11.21,BH1750,20,5.294117,15.0
11.73,BH1750,20,10.58823,26.66667
12.25,BH1750,20,15.88235,55.83333
12.76,BH1750,20,21.17647,61.66667
13.28,BH1750,20,26.47059,68.33333
13.79,BH1750,20,31.76471,75.83333
14.35,BH1750,20,37.05882,75.83333
14.86,BH1750,20,42.35294,64.16667
15.38,BH1750,20,47.64706,60.0
15.89,BH1750,20,52.94117,55.0
16.41,BH1750,20,58.23529,49.16667
16.93,BH1750,20,63.52941,45.0
17.45,BH1750,20,68.82352,40.0
17.96,BH1750,20,74.11765,36.66667
18.51,BH1750,20,79.41176,34.16667
19.03,BH1750,20,84.70588,30.83333
19.54,BH1750,20,90.0,28.33333
20.06,BH1750,20,95.29411,27.5
20.58,BH1750,20,100.5882,25.83333
21.09,BH1750,20,105.8823,24.16667
21.61,BH1750,20,111.1765,23.33333
22.13,BH1750,20,116.4706,22.5
22.68,BH1750,20,121.7647,20.83333
23.19,BH1750,20,127.0588,20.83333
23.71,BH1750,20,132.3529,20.0
24.23,BH1750,20,137.647,20.0
24.74,BH1750,20,142.9412,19.16667
25.26,BH1750,20,148.2353,19.16667
25.77,BH1750,20,153.5294,19.16667
26.33,BH1750,20,158.8235,20.0
26.84,BH1750,20,164.1176,47.5
27.36,BH1750,20,169.4118,20.0
27.87,BH1750,20,174.7059,29.16667
28.39,BH1750,20,180.0,45.83333
28.91,BH1750,20,185.2941,50.0
29.42,BH1750,20,190.5882,56.66667
29.94,BH1750,20,195.8823,42.5
30.45,BH1750,20,201.1765,36.66667
31.01,BH1750,20,206.4706,22.5
31.52,BH1750,20,211.7647,22.5
32.04,BH1750,20,217.0588,20.83333
32.55,BH1750,20,222.3529,20.83333
33.07,BH1750,20,227.647,20.83333
33.59,BH1750,20,232.9412,20.0
34.11,BH1750,20,238.2353,20.0
34.63,BH1750,20,243.5294,20.0
35.18,BH1750,20,248.8235,19.16667
35.70,BH1750,20,254.1176,19.16667
36.21,BH1750,20,259.4117,19.16667
36.73,BH1750,20,264.7059,19.16667
37.25,BH1750,20,270.0,19.16667
37.76,BH1750,20,275.2941,19.16667
38.28,BH1750,20,280.5882,19.16667
38.83,BH1750,20,285.8824,19.16667
39.35,BH1750,20,291.1764,19.16667
39.86,BH1750,20,296.4706,20.0
40.38,BH1750,20,301.7647,20.83333
40.90,BH1750,20,307.0588,20.83333
41.42,BH1750,20,312.3529,21.66667
41.94,BH1750,20,317.647,22.5
42.45,BH1750,20,322.9412,24.16667
43.01,BH1750,20,328.2353,25.83333
