Time (seconds),sensor name,altitude,azimuth,measure
535.98,BH1750,70,60.0,15.0
537.90,BH1750,70,90.0,11.66667
539.82,BH1750,70,120.0,10.0
541.75,BH1750,70,150.0,10.0
543.67,BH1750,70,180.0,10.0
545.60,BH1750,70,210.0,10.83333
547.52,BH1750,70,240.0,13.33333
549.44,BH1750,70,270.0,17.5
551.38,BH1750,70,300.0,25.0
553.32,BH1750,70,330.0,33.33333
555.25,BH1750,80,0.0,20.0
558.88,BH1750,80,60.0,15.83333
562.51,BH1750,80,120.0,11.66667
566.13,BH1750,80,180.0,10.83333
569.76,BH1750,80,240.0,14.16667
573.39,BH1750,80,300.0,19.16667
577.02,BH1750,90,0.0,15.83333
